Month,snow(in),snow(mm),rain(mm)
January,103,261.62,139.1
February,109.5,278.13,87.63
March,114.5,290.83,151.3
April,15,38.1,29.7
May,0,0,14.2
June,0,0,45.68
July ,0,0,22.23
August,0,0,24.22
Sept,1,2.54,42
Oct,4,10.16,166.64
Nov,115,292.1,159.12
Dec,207,525.78,64.4
