Month,snow(in),snow(mm),rain(mm)
January,48,121.92,80.7
February,18.5,46.99,86.71
March,42.5,107.95,43.01
April,49,124.46,43.66
May,0,0,19.3
June,0,0,17.23
July ,0,0,26.77
August,0,0,54.92
Sept,0,0,20.75
Oct,0,0,74.43
Nov,94,238.76,137.7
Dec,186,472.44,169.42
